StartClass,StartSubclass,StartDecimal,StartCutterLetter,StartCutterNumber,EndClass,EndSubclass,EndDecimal,EndCutterLetter,EndCutterNumber,"Description"
PL,1,,,,,481,,,,"Ural-Altaic languages"
PL,21,,,,,396,,,,"Turkic languages"
PL,400,,,,,431,,,,"Mongolian languages"
PL,450,,,,,481,,,,"Tungus Manchu languages"
PL,490,,,,,495,,,,"Far Eastern languages and literature"
PL,501,,,,,889,,,,"Japanese language and literature"
PL,501,,,,,699,,,,"Japanese language"
PL,700,,,,,889,,,,"Japanese literature"
PL,700,,,,,751,5,,,"History and criticism"
PL,752,,,,,783,,,,"Collections"
PL,784,,,,,866,,,,"Individual authors and works"
PL,885,,,,,889,,,,"Local literature"
PL,901,,,,,998,,,,"Korean language and literature"
PL,901,,,,,949,,,,"Korean language"
PL,950,,,,,998,,,,"Korean literature"
PL,950,2,,,,969,5,,,"History and criticism"
PL,969,8,,,,985,,,,"Collections"
PL,986,,,,,993,,,,"Individual authors and works"
PL,997,,,,,998,,,,"Local literature"
PL,1001,,,,,3208,,,,"Chinese language and literature"
PL,1001,,,,,1960,,,,"Chinese language"
PL,2250,,,,,3208,,,,"Chinese literature"
PL,2250,,,,,2443,,,,"History and criticism"
PL,2450,,,,,2659,,,,"Collections"
PL,2661,,,,,2979,,,,"Individual authors and works"
PL,3030,,,,,3208,,,,"Provincial, local, colonial, etc."
PL,3301,,,,,3311,,,,"Non-Chinese languages of China"
PL,3501,,,,,3509,,,,"Non-Aryan languages of India and Southeastern Asia in general"
PL,3512,,,,,,,,,"Malaysian literature"
PL,3515,,,,,,,,,"Singapore literature"
PL,3518,,,,,,,,,"Languages of the Montagnards"
PL,3521,,,,,4001,,,,"Sino-Tibetan languages"
PL,3551,,,,,4001,,,,"Tibeto-Burman languages"
PL,3561,,,,,3801,,,,"Tibeto-Himalayan languages"
PL,3601,,,,,3775,,,,"Tibetan"
PL,3781,,,,,3801,,,,"Himalayan languages"
PL,3851,,,,,4001,,,,"Assam and Burma"
PL,4051,,,,,4054,,,,"Karen languages"
PL,4070,,,,,4074,,,,"Miao-Yao languages"
PL,4281,,,,,4587,,,,"Austroasiatic languages"
PL,4301,,,,,4470,,,,"Mon-Khmer (Mon-Anam) languages"
PL,4371,,,,,4379,,,,"Vietnamese. Annamese"
PL,4423,,,,,4470,,,,"Bru, Chrau, Khasi, Muong, etc."
PL,4471,,,,,4471,5,,,"Nicobarese"
PL,4490,,,,,4498,,,,"Chamic languages"
PL,4501,,,,,4587,,,,"Munda languages (Kolarian languages)"
PL,4601,,,,,4890,,,,"Dravidian languages"
PL,5001,,,,,7511,,,,"Languages of Oceania"
PL,5001,,,,,7101,,,,"Austronesian, Papuan, and Australian languages"
PL,5051,,,,,5497,,,,"Malayan (Indonesian) languages"
PL,5501,,,,,6135,,,,"Philippine languages"
PL,6145,,,,,6167,,,,"Taiwan languages"
PL,6191,,,,,6341,,,,"Micronesian and Melanesian languages"
PL,6401,,,,,6551,,,,"Polynesian languages"
PL,6601,,,,,6621,,,,"Papuan languages"
PL,7001,,,,,7101,,,,"Australian languages"
PL,8000,,,,,8844,,,,"African languages and literature"
PL,8000,,,,,8009,,,,"Languages"
PL,8009,5,,,,8014,,,,"Literature"
PL,8015,,,,,8021,,,,"Languages. By region or country"
PL,8024,,,,,8027,,,,"Special families of languages"
PL,8035,,,,,8844,,,,"Special languages (alphabetically)"
PM,1,,,,,9021,,,,"Hyperborean, Indian, and artificial languages"
PM,1,,,,,94,,,,"Hperborean languages of Arctic Asia and America"
PM,101,,,,,2711,,,,"American languages (Aboriginal)"
PM,231,,,,,355,,,,"American languages of British North America"
PM,401,,,,,501,,,,"American languages of the United States (and Mexico)"
PM,549,,,,,2711,,,,"Special languages of the United States and Canada (alphabetically)"
PM,3001,,,,,4566,,,,"Languages of Mexico and Central America"
PM,5001,,,,,7356,,,,"Languages of South America and the West Indies"
PM,7801,,,,,7895,,,,"Mixed languages"
PM,7831,,,,,7875,,,,"Creole languages"
PM,8001,,,,,8995,,,,"Artificial languages--Universal languages"
PM,8201,,,,,8298,,,,"Esperanto"
PM,8999,,,,,,,,,"Picture languages"
PM,9001,,,,,9021,,,,"Secret languages"
PN,1,,,,,6790,,,,"Literature (General)"
PN,1,,,,,9,,,,"Periodicals"
PN,20,,,,,30,,,,"Societies"
PN,45,,,,,57,,,,"Theory. Philosophy. Esthetics"
PN,59,,,,,72,,,,"Study and teaching"
PN,80,,,,,99,,,,"Criticism"
PN,101,,,,,245,,,,"Authorship"
PN,172,,,,,239,,,,"Technique. Literary composition, etc."
PN,241,,,,,241,5,,,"Translating as a literary pursuit"
PN,441,,,,,1009,5,,,"Literary history"
PN,451,,,,,497,,,,"Biography"
PN,500,,,,,519,,,,"Collections"
PN,597,,,,,605,,,,"Special relations, movements, and currents of literature"
PN,610,,,,,779,,,,"By period"
PN,611,,,,,649,,,,"Ancient"
PN,661,,,,,694,,,,"Medieval (to 1500)"
PN,683,,,,,687,,,,"Legends"
PN,688,,,,,691,,,,"Poetry"
PN,692,,,,,693,,,,"Prose. Prose fiction"
PN,695,,,,,779,,,,"Modern"
PN,715,,,,,749,,,,"Renaissance (1500-1700)"
PN,801,,,,,820,,,,"Romance literature"
PN,821,,,,,840,,,,"Germanic literature"
PN,841,,,,,,,,,"Black literature (General)"
PN,842,,,,,,,,,"Jewish literature in various languages"
PN,851,,,,,884,,,,"Comparative literature"
PN,905,,,,,1008,,,,"Folk literature"
PN,980,,,,,995,,,,"Fables"
PN,1008,2,,,,1009,5,,,"Juvenile literature"
PN,1010,,,,,1525,,,,"Poetry"
PN,1031,,,,,1049,,,,"Theory, philosophy, relations, etc."
PN,1065,,,,,1085,,,,"Relations to, and treatment of, special subjects"
PN,1110,,,,,1279,,,,"History and criticism"
PN,1301,,,,,1333,,,,"Epic poetry"
PN,1341,,,,,1347,,,,"Folk poetry"
PN,1351,,,,,1389,,,,"Lyric poetry"
PN,1530,,,,,,,,,"The monologue"
PN,1551,,,,,,,,,"The dialogue"
PN,1560,,,,,1590,,,,"The performing arts. Show business"
PN,1585,,,,,1589,,,,"Centers for the performing arts"
PN,1600,,,,,3307,,,,"Drama"
PN,1635,,,,,1650,,,,"Relation to, and treatment of, special subjects"
PN,1660,,,,,1693,,,,"Technique of dramatic composition"
PN,1720,,,,,1861,,,,"History"
PN,1865,,,,,1988,,,,"Special types"
PN,1990,,,,,1992,92,,,"Broadcasting"
PN,1991,,,,,1991,9,,,"Radio broadcasts"
PN,1992,,,,,1992,92,,,"Television broadcasts"
PN,1992,93,,,,19,,,,"92.95 Nonbroadcast video recordings"
PN,1993,,,,,1999,,,,"Motion pictures"
PN,1997,,,,,1997,85,,,"Plays, scenarios, etc."
PN,2000,,,,,3307,,,,"Dramatic representation. The theater"
PN,2061,,,,,2071,,,,"Art of acting"
PN,2085,,,,,2091,,,,"The stage and accessories"
PN,2131,,,,,2193,,,,"By period"
PN,2131,,,,,2145,,,,"Ancient"
PN,2152,,,,,2160,,,,"Medieval"
PN,2171,,,,,2179,,,,"Renaissance"
PN,2181,,,,,2193,,,,"Modern"
PN,2219,3,,,,3030,,,,"Special regions or countries"
PN,3035,,,,,,,,,"The Jewish theater"
PN,3151,,,,,3171,,,,"Amateur theater"
PN,3175,,,,,3191,,,,"College and school theatricals"
PN,3203,,,,,3299,,,,"Tableaux, pageants,"Happenings," etc."
PN,3311,,,,,3503,,,,"Prose. Prose fiction"
PN,3329,,,,,3352,,,,"Philosophy, theory, etc."
PN,3355,,,,,3383,,,,"Technique. Authorship"
PN,3427,,,,,3448,,,,"Special kinds of fiction. Fiction genres"
PN,3451,,,,,3503,,,,"History"
PN,4001,,,,,4355,,,,"Oratory. Elocution, etc."
PN,4071,,,,,4095,,,,"Study and teaching"
PN,4177,,,,,4191,,,,"Debating"
PN,4199,,,,,4321,,,,"Recitations (in English)"
PN,4331,,,,,4355,,,,"Recitations in foreign languages"
PN,4390,,,,,,,,,"Diaries"
PN,4400,,,,,,,,,"Letters (Literary history)"
PN,4500,,,,,,,,,"Essays (Literary history)"
PN,4699,,,,,5650,,,,"Journalism. The periodical press, etc."
PN,4735,,,,,4748,,,,"Relation to the state. Government and the press. Liberty of the press"
PN,4775,,,,,4784,,,,"Technique. Practical journalism"
PN,4825,,,,,4830,,,,"Amateur journalism"
PN,4832,,,,,4836,,,,"Magazines and other periodicals"
PN,4840,,,,,5648,,,,"By region or country"
PN,5650,,,,,,,,,"The Jewish press"
PN,6010,,,,,6790,,,,"Collections of general literature"
PN,6066,,,,,6069,,,,"Special classes of authors"
PN,6080,,,,,6095,,,,"Quotations"
PN,6081,,,,,6084,,,,"English"
PN,6086,,,,,6089,,,,"French"
PN,6090,,,,,6110,,,,"German"
PN,6099,,,,,6110,,,,"Poetry"
PN,6110,5,,,,6120,,,,"Drama"
PN,6120,15,,,,6120,95,,,"Fiction"
PN,6121,,,,,6129,,,,"Orations"
PN,6130,,,,,6140,,,,"Letters"
PN,6141,,,,,6145,,,,"Essays"
PN,6146,5,,,,6231,,,,"Wit and humor"
PN,6157,,,,,6222,,,,"By region or country"
PN,6233,,,,,6238,,,,"Anacreontic literature"
PN,6244,,,,,6246,,,,"Literary extracts. Commonplace books"
PN,6249,,,,,6258,,,,"Ana"
PN,6259,,,,,6268,,,,"Anecdotes. Table talk"
PN,6269,,,,,6278,,,,"Aphorisms. Apothegms"
PN,6279,,,,,6288,,,,"Epigrams"
PN,6288,5,,,,6298,,,,"Epitaphs"
PN,6299,,,,,6308,,,,"Maxims"
PN,6309,,,,,6318,,,,"Mottoes"
PN,6319,,,,,6328,,,,"Sayings, bon mots, etc."
PN,6329,,,,,6338,,,,"Thoughts"
PN,6340,,,,,6348,,,,"Toasts"
PN,6348,5,,,,6358,,,,"Emblems, devices"
PN,6361,,,,,,,,,"Paradoxes"
PN,6366,,,,,6377,,,,"Riddles, acrostics, charades, conundrums, etc."
PN,6400,,,,,6525,,,,"Proverbs"
PN,6700,,,,,6790,,,,"Comic books, strips, etc."
PQ,1,,,,,3999,,,,"French literature"
PQ,1,,,,,771,,,,"History and criticism"
PQ,1,,,,,150,,,,"General"
PQ,151,,,,,221,,,,"Medieval. Old French"
PQ,226,,,,,317,,,,"Modern"
PQ,400,,,,,491,,,,"Poetry"
PQ,500,,,,,591,,,,"Drama"
PQ,601,,,,,771,,,,"Prose and prose fiction"
PQ,781,,,,,841,,,,"Folk literature"
PQ,845,,,,,,,,,"Juvenile literature"
PQ,1100,,,,,1297,,,,"Collections"
PQ,1100,,,,,1145,,,,"General"
PQ,1160,,,,,1193,,,,"Poetry"
PQ,1211,,,,,1241,,,,"Drama"
PQ,1243,,,,,1297,,,,"Prose"
PQ,1300,,,,,1595,,,,"Old French literature Class here Old French literature to ca. 1500/1550"
PQ,1300,,,,,1391,,,,"Collections Individual authors and works"
PQ,1411,,,,,1545,,,,"To 1350/1400"
PQ,1551,,,,,1595,,,,"(14th-) 15th century (to ca. 1525)"
PQ,1600,,,,,2726,,,,"Modern literature Individual authors"
PQ,1600,,,,,1709,,,,"16th century"
PQ,1710,,,,,1935,,,,"17th century"
PQ,1947,,,,,2147,,,,"18th century"
PQ,2149,,,,,2551,,,,"19th century"
PQ,2600,,,,,2651,,,,"1900-1960"
PQ,2660,,,,,2686,,,,"1961-2000"
PQ,2700,,,,,2726,,,,"2001-"
PQ,3800,,,,,3999,,,,"Provincial, local, colonial, etc."
PQ,4001,,,,,5999,,,,"Italian literature"
PQ,4001,,,,,4199,5,,,"History and criticism"
PQ,4001,,,,,4063,,,,"General"
PQ,4064,,,,,4075,,,,"Early to 1500"
PQ,4077,,,,,4088,,,,"Modern"
PQ,4091,,,,,4131,,,,"Poetry"
PQ,4133,,,,,4160,,,,"Drama"
PQ,4161,,,,,4185,,,,"Prose"
PQ,4186,,,,,4199,,,,"Folk literature"
PQ,4199,5,,,,,,,,"Juvenile literature (General)"
PQ,4201,,,,,4263,,,,"Collections"
PQ,4201,,,,,4204,,,,"General"
PQ,4205,,,,,4206,,,,"Translations"
PQ,4207,,,,,4225,,,,"Poetry"
PQ,4227,,,,,4245,,,,"Drama"
PQ,4247,,,,,4263,,,,"Prose"
PQ,4265,,,,,4556,,,,"Individual authors and works to 1400"
PQ,4561,,,,,4664,,,,"Individual authors, 1400-1700"
PQ,4675,,,,,4734,,,,"Individual authors, 1701-1900"
PQ,4800,,,,,4851,,,,"Individual authors, 1900-1960"
PQ,4860,,,,,4886,,,,"Individual authors, 1961-2000"
PQ,4900,,,,,4926,,,,"Individual authors, 2001-"
PQ,5901,,,,,5999,,,,"Regional, provincial, local, etc."
PQ,6001,,,,,8929,,,,"Spanish literature"
PQ,6001,,,,,6168,,,,"History and criticism"
PQ,6001,,,,,6056,,,,"General"
PQ,6056,,,,,,,,,"Moorish-Spanish literature"
PQ,6058,,,,,6060,,,,"Early to 1500"
PQ,6061,,,,,6073,,,,"Modern"
PQ,6075,,,,,6098,,,,"Poetry"
PQ,6098,7,,,,6129,,,,"Drama"
PQ,6131,,,,,6153,,,,"Prose"
PQ,6155,,,,,6167,,,,"Folk literature"
PQ,6168,,,,,,,,,"Juvenile literature (General)"
PQ,6170,,,,,6269,,,,"Collections"
PQ,6170,,,,,6174,9,,,"General"
PQ,6174,95,,,,6215,,,,"Poetry"
PQ,6217,,,,,6241,,,,"Drama"
PQ,6247,,,,,6264,,,,"Prose"
PQ,6265,,,,,6269,,,,"Translations"
PQ,6271,,,,,6498,,,,"Individual authors and works to 1700"
PQ,6500,,,,,6576,,,,"Individual authors, 1700-ca. 1868"
PQ,6600,,,,,6647,,,,"Individual authors, 1868-1960"
PQ,6650,,,,,6676,,,,"Individual authors, 1961-2000"
PQ,6700,,,,,6726,,,,"Individual authors, 2001-"
PQ,7000,,,,,8929,,,,"Provincial, local, colonial, etc."
PQ,7081,,,,,8560,,,,"Spanish America"
PQ,9000,,,,,9999,,,,"Portuguese literature"
PQ,9000,,,,,9129,,,,"History and criticism"
PQ,9000,,,,,9034,,,,"General"
PQ,9035,,,,,9055,,,,"Special periods"
PQ,9061,,,,,9081,,,,"Poetry"
PQ,9083,,,,,9095,,,,"Drama"
PQ,9097,,,,,9119,,,,"Prose"
PQ,9121,,,,,9128,,,,"Folk literature"
PQ,9129,,,,,,,,,"Juvenile literature (General)"
PQ,9131,,,,,9188,,,,"Collections"
PQ,9131,,,,,9144,,,,"General"
PQ,9137,,,,,,,,,"Translations"
PQ,9149,,,,,9163,,,,"Poetry"
PQ,9164,,,,,9170,,,,"Drama"
PQ,9172,,,,,9188,,,,"Prose"
PQ,9189,,,,,,,,,"Individual authors and works to 1500"
PQ,9191,,,,,9255,,,,"Individual authors and works, 1500-1700"
PQ,9261,,,,,,,,,"Individual authors, 1701-1960"
PQ,9262,,,,,9288,,,,"Individual authors, 1961-2000"
PQ,9300,,,,,9326,,,,"Individual authors, 2001-"
PQ,9400,,,,,9999,,,,"Provincial, local, colonial, etc."
PQ,9500,,,,,9698,436,,,"Brazil"
PR,1,,,,,9680,,,,"English literature"
PR,1,,,,,56,,,,"Literary history and criticism"
PR,57,,,,,78,,,,"Criticism"
PR,111,,,,,116,,,,"Women authors"
PR,125,,,,,138,5,,,"Relations to other literatures and countries"
PR,161,,,,,488,,,,"By period"
PR,171,,,,,236,,,,"Anglo-Saxon (Beginnings through 1066)"
PR,251,,,,,369,,,,"Medieval. Middle English (1066-1500)"
PR,401,,,,,488,,,,"Modern"
PR,421,,,,,429,,,,"Elizabethan era (1550-1640)"
PR,431,,,,,439,,,,"17th century"
PR,441,,,,,449,,,,"18th century"
PR,451,,,,,469,,,,"19th century"
PR,471,,,,,479,,,,"20th century"
PR,481,,,,,488,,,,"21st century"
PR,500,,,,,614,,,,"Poetry"
PR,521,,,,,614,,,,"By period"
PR,621,,,,,744,,,,"Drama"
PR,641,,,,,744,,,,"By period"
PR,750,,,,,890,,,,"Prose"
PR,767,,,,,818,,,,"By period"
PR,821,,,,,890,,,,"Prose fiction. The novel"
PR,901,,,,,907,2,,,"Oratory"
PR,908,,,,,,,,,"Diaries"
PR,911,,,,,918,,,,"Letters"
PR,921,,,,,928,,,,"Essays"
PR,931,,,,,938,,,,"Wit and humor"
PR,951,,,,,981,,,,"Folk literature"
PR,1098,,,,,1369,,,,"Collections of English literature"
PR,1110,,,,,,,,,"Special classes of authors"
PR,1119,,,,,1151,,,,"By period"
PR,1170,,,,,1228,,,,"Poetry"
PR,1241,,,,,1273,,,,"Drama"
PR,1281,,,,,1309,,,,"Prose (General)"
PR,1321,,,,,1329,,,,"Oratory"
PR,1330,,,,,,,,,"Diaries"
PR,1341,,,,,1349,,,,"Letters"
PR,1361,,,,,1369,,,,"Essays"
PR,1490,,,,,1799,,,,"Anglo-Saxon literature"
PR,1803,,,,,2165,,,,"Anglo-Norman period. Early English. Middle"
PR,,,,,,,,,,"English"
PR,2199,,,,,3195,,,,"English renaissance (1500-1640)"
PR,3291,,,,,3785,,,,"17th and 18th centuries (1640-1770)"
PR,3991,,,,,5990,,,,"19th century, 1770/1800-1890/1900"
PR,6000,,,,,6049,,,,"1900-1960"
PR,6050,,,,,6076,,,,"1961-2000"
PR,6100,,,,,6126,,,,"2001-"
PR,8309,,,,,9680,,,,"English literature: Provincial, local, etc."
PS,1,,,,,3626,,,,"American literature"
PS,126,,,,,138,,,,"Biography, memoirs, letters, etc."
PS,147,,,,,152,,,,"Women authors"
PS,163,,,,,173,,,,"Treatment of special subjects, classes"
PS,185,,,,,231,,,,"By period"
PS,185,,,,,195,,,,"17th-18th centuries"
PS,201,,,,,217,,,,"19th century"
PS,221,,,,,228,,,,"20th century"
PS,229,,,,,231,,,,"21st century"
PS,241,,,,,286,,,,"Special regions, states, etc."
PS,241,,,,,255,,,,"North"
PS,261,,,,,267,,,,"South"
PS,271,,,,,285,,,,"West and Central"
PS,301,,,,,326,,,,"Poetry"
PS,330,,,,,353,,,,"Drama"
PS,360,,,,,380,,,,"Prose"
PS,370,,,,,380,,,,"Prose fiction"
PS,400,,,,,408,2,,,"Oratory"
PS,409,,,,,,,,,"Diaries"
PS,410,,,,,419,,,,"Letters"
PS,420,,,,,429,,,,"Essays"
PS,430,,,,,439,,,,"Wit and humor. Satire"
PS,451,,,,,478,,,,"Folk literature"
PS,490,,,,,,,,,"Juvenile literature (General)"
PS,501,,,,,689,,,,"Collections of American literature"
PS,530,,,,,536,3,,,"By period"
PS,537,,,,,574,,,,"By region"
PS,538,,,,,549,,,,"North"
PS,551,,,,,559,,,,"South"
PS,561,,,,,572,,,,"West and Central"
PS,580,,,,,619,,,,"Poetry"
PS,593,,,,,,,,,"By form"
PS,601,,,,,617,,,,"By period"
PS,623,,,,,635,,,,"Drama"
PS,642,,,,,659,5,,,"Prose (General)"
PS,651,,,,,659,2,,,"By period"
PS,660,,,,,668,2,,,"Oratory"
PS,666,,,,,668,2,,,"By period"
PS,669,,,,,,,,,"Diaries"
PS,670,,,,,678,2,,,"Letters"
PS,680,,,,,689,,,,"Essays"
PS,700,,,,,3576,,,,"Individual authors"
PS,700,,,,,893,,,,"Colonial period (17th and 18th centuries)"
PS,991,,,,,3390,,,,"19th century"
PS,3500,,,,,3549,,,,"1900-1960"
PS,3550,,,,,3576,,,,"1961-2000"
PS,3600,,,,,3626,,,,"2001-"
PS,8001,,,,,8599,,,,"Canadian literature		"
PT,1,,,,,4897,,,,"German literature"
PT,1,,,,,80,,,,"Literary history and criticism"
PT,83,,,,,873,,,,"History of German literature"
PT,175,,,,,230,,,,"Medieval"
PT,236,,,,,405,,,,"Modern"
PT,500,,,,,597,,,,"Poetry"
PT,605,,,,,709,,,,"Drama"
PT,711,,,,,871,,,,"Prose"
PT,881,,,,,951,,,,"Folk literature"
PT,923,,,,,937,,,,"Faust legend"
PT,1100,,,,,1479,,,,"Collections"
PT,1100,,,,,1141,,,,"General"
PT,1151,,,,,1241,,,,"Poetry"
PT,1251,,,,,1299,,,,"Drama"
PT,1301,,,,,1360,,,,"Prose"
PT,1371,,,,,1374,,,,"Early to 1950. Old and Middle High German"
PT,1375,,,,,1479,,,,"Middle High German"
PT,1501,,,,,2688,,,,"Individual authors or works"
PT,1501,,,,,1695,,,,"Middle High German, ca. 1050-1450/1500"
PT,1701,,,,,1797,,,,"1500-ca. 1700"
PT,1799,,,,,2592,,,,"1700-ca. 1860/70"
PT,1891,,,,,2239,,,,"Goethe"
PT,1891,,,,,2017,,,,"Works"
PT,2026,,,,,2039,,,,"Translations"
PT,2044,,,,,2239,,,,"Biography and criticism"
PT,2600,,,,,2653,,,,"1860/70-1960"
PT,2660,,,,,2688,,,,"1961-2000"
PT,2700,,,,,2728,,,,"2001-"
PT,3701,,,,,3971,,,,"Provincial, local, colonial, etc."
PT,3701,,,,,3746,,,,"East Germany"
PT,4801,,,,,4897,,,,"Low German literature"
PT,5001,,,,,5980,,,,"Dutch literature"
PT,5001,,,,,5348,,,,"Literary history and criticism"
PT,5001,,,,,5112,,,,"General"
PT,5121,,,,,5185,,,,"Special periods"
PT,5201,,,,,5243,,,,"Poetry"
PT,5250,,,,,5295,,,,"Drama"
PT,5300,,,,,5348,,,,"Prose"
PT,5351,,,,,5395,,,,"Folk literature"
PT,5398,,,,,,,,,"Juvenile literature (General)"
PT,5400,,,,,5547,,,,"Collections"
PT,5400,,,,,5409,,,,"General"
PT,5410,,,,,5414,,,,"Translations"
PT,5420,,,,,5460,,,,"Special periods"
PT,5470,,,,,5488,,,,"Poetry"
PT,5490,,,,,5515,,,,"Drama"
PT,5517,,,,,5547,,,,"Prose"
PT,5555,,,,,5881,36,,,"Individual authors or works"
PT,5555,,,,,5595,,,,"Medieval"
PT,5600,,,,,5739,,,,"16th-18th centuries"
PT,5620,,,,,5637,,,,"Cats, Jacob"
PT,5700,,,,,5732,,,,"Vondel, Joost van den"
PT,5800,,,,,5880,,,,"1800-1960"
PT,5881,,,,,5881,36,,,"1961-2000"
PT,5882,,,,,5882,36,,,"2001-"
PT,5901,,,,,5980,,,,"Provincial, local, foreign"
PT,6000,,,,,6467,36,,,"Flemish literature since 1830"
PT,6000,,,,,6199,,,,"Literary history and criticism"
PT,6200,,,,,6230,,,,"Folk literature"
PT,6250,,,,,,,,,"Juvenile literature (General)"
PT,6300,,,,,6397,,,,"Collections"
PT,6400,,,,,6467,36,,,"Individual authors or works"
PT,6500,,,,,6593,36,,,"Afrikaans literature"
PT,6500,,,,,6530,,,,"Literary history and criticism"
PT,6540,,,,,6545,,,,"Folk literature"
PT,6550,,,,,6575,,,,"Collections"
PT,6580,,,,,,,,,"Local"
PT,6590,,,,,6593,36,,,"Individual authors or works"
PT,7001,,,,,7099,,,,"Scandinavian literature"
PT,7001,,,,,7099,,,,"General"
PT,7001,,,,,7087,,,,"Literary history and criticism"
PT,7088,,,,,7089,,,,"Folk literature"
PT,7090,,,,,7099,,,,"Collections"
PT,7101,,,,,7338,,,,"Old Norse literature: Old Icelandic and Old Norwegian"
PT,7101,,,,,7211,,,,"Literary history and criticism"
PT,7170,,,,,7176,,,,"Poetry"
PT,7177,,,,,7211,,,,"Prose"
PT,7181,,,,,7193,,,,"Sagas"
PT,7195,,,,,7211,,,,"Scientific and learned literature"
PT,7220,,,,,7262,5,,,"Collections"
PT,7230,,,,,7252,,,,"Poetry"
PT,7255,,,,,7262,5,,,"Prose"
PT,7261,,,,,7262,5,,,"Sagas"
PT,7263,,,,,7296,,,,"Individual sagas and historical works"
PT,7298,,,,,7309,,,,"Religious works"
PT,7312,,,,,7318,,,,"Scientific and learned literature"
PT,7326,,,,,7338,,,,"Individual authors or works before 1540"
PT,7351,,,,,7550,,,,"Modern Icelandic literature"
PT,7351,,,,,7418,,,,"Literary history and criticism"
PT,7420,,,,,7438,,,,"Folk literature"
PT,7442,,,,,,,,,"Juvenile literature (General)"
PT,7450,,,,,7495,,,,"Collections"
PT,7500,,,,,7511,,,,"Individual authors or works"
PT,7500,,,,,7501,,,,"16th-18th centuries"
PT,7510,,,,,7511,,,,"19th-20th centuries"
PT,7512,,,,,7513,,,,"21st century"
PT,7520,,,,,7550,,,,"Provincial, local, foreign"
PT,7581,,,,,7599,,,,"Faroese literature"
PT,7581,,,,,7592,,,,"Literary history and criticism"
PT,7593,,,,,7596,5,,,"Collections"
PT,7597,,,,,,,,,"Local"
PT,7598,,,,,7599,,,,"Individual authors or works"
PT,7601,,,,,8260,,,,"Danish literature"
PT,7601,,,,,7869,,,,"Literary history and criticism"
PT,7721,,,,,7762,,,,"Special periods"
PT,7770,,,,,7794,,,,"Poetry"
PT,7800,,,,,7832,,,,"Drama"
PT,7835,,,,,7869,,,,"Prose"
PT,7900,,,,,7930,,,,"Folk literature"
PT,7935,,,,,,,,,"Juvenile literature (General)"
PT,7945,,,,,8046,,,,"Collections"
PT,7975,,,,,7994,,,,"Poetry"
PT,7999,,,,,8020,,,,"Drama"
PT,8021,,,,,8046,,,,"Prose"
PT,8050,,,,,8177,36,,,"Individual authors or works"
PT,8050,,,,,,,,,"Medieval"
PT,8060,,,,,8098,,,,"16th-18th centuries"
PT,8070,,,,,8094,5,,,"Holberg, Ludvig"
PT,8100,,,,,8167,,,,"19th century"
PT,8102,,,,,8120,,,,"Andersen, Hans Christian"
PT,8145,,,,,8157,,,,"Oehlenschläger, Adam Gottlob"
PT,8174,,,,,8175,,,,"1900-1960"
PT,8176,,,,,8176,36,,,"1961-2000"
PT,8177,,,,,8177,36,,,"2001-"
PT,8205,,,,,8260,,,,"Provincial, local, foreign"
PT,8301,,,,,9155,,,,"Norwegian literature"
PT,8301,,,,,8574,,,,"Literary history and criticism"
PT,8420,,,,,8456,,,,"Special periods"
PT,8460,,,,,8489,,,,"Poetry"
PT,8500,,,,,8534,,,,"Drama"
PT,8540,,,,,8574,,,,"Prose"
PT,8600,,,,,8637,,,,"Folk literature"
PT,8640,,,,,,,,,"Juvenile literature (General)"
PT,8650,,,,,8733,,,,"Collections"
PT,8675,,,,,8695,,,,"Poetry"
PT,8699,,,,,8718,,,,"Drama"
PT,8719,,,,,8723,,,,"Prose"
PT,8750,,,,,8952,36,,,"Individual authors or works"
PT,8750,,,,,8775,,,,"16th-18th centuries"
PT,8800,,,,,8942,,,,"19th century"
PT,8851,,,,,8900,,,,"Ibsen, Henrik"
PT,8949,,,,,8950,,,,"1900-1960"
PT,8951,,,,,8951,36,,,"1961-2000"
PT,8952,,,,,8952,36,,,"2001-"
PT,9000,,,,,9094,,,,"Landsmaal or New Norwegian"
PT,9000,,,,,9019,,,,"Literary history and criticism"
PT,9025,,,,,9055,,,,"Collections"
PT,9064,,,,,9094,,,,"Individual authors"
PT,9100,,,,,9155,,,,"Provincial, local, foreign"
PT,9201,,,,,9999,,,,"Swedish literature"
PT,9201,,,,,9499,,,,"Literary history and criticism"
PT,9320,,,,,9370,,,,"Special periods"
PT,9375,,,,,9404,,,,"Poetry"
PT,9415,,,,,9449,,,,"Drama"
PT,9460,,,,,9499,,,,"Prose"
PT,9509,,,,,9542,,,,"Folk literature"
PT,9544,,,,,,,,,"Juvenile literature (General)"
PT,9547,,,,,9639,,,,"Collections"
PT,9565,,,,,9570,,,,"Translations"
PT,9580,,,,,9599,,,,"Poetry"
PT,9605,,,,,9625,,,,"Drama"
PT,9626,,,,,9639,,,,"Prose"
PT,9650,,,,,9877,36,,,"Individual authors or works"
PT,9650,,,,,9651,,,,"Medieval"
PT,9674,,,,,9715,,,,"16th-18th centuries"
PT,9725,,,,,9850,,,,"19th century"
PT,9759,,,,,9771,,,,"Lagerlöf, Selma"
PT,9800,,,,,9817,,,,"Strindberg, Johan August"
PT,9820,,,,,9838,,,,"Tegnér, Esaias"
PT,9870,,,,,9875,,,,"1900-1960"
PT,9876,,,,,9876,36,,,"1961-2000"
